{Town Car | Lincoln | 2007 | Orange}
{Sierra 1500 | GMC | 2001 | Maroon}
{SRX | Cadillac | 1998 | Aquamarine}
{Avenger | Dodge | 1999 | Yellow}
{C-MAX Hybrid | Ford | 2009 | Red}
{Daewoo Magnus | Suzuki | 1998 | Pink}
{Grand Prix | Pontiac | 1999 | Crimson}
{Century | Buick | 2009 | Goldenrod}
{Swift | Suzuki | 2007 | Indigo}
{Explorer | Ford | 2006 | Green}
{del Sol | Honda | 2009 | Turquoise}
{MPV | Mazda | 2007 | Goldenrod}
{Ram 50 | Dodge | 2007 | Maroon}
{Mustang | Ford | 2003 | Mauv}
{Avalon | Toyota | 2010 | Aquamarine}
{Continental | Lincoln | 2004 | Mauv}
{Ram 1500 | Dodge | 2008 | Mauv}
{A5 | Audi | 1998 | Maroon}
{Camaro | Chevrolet | 2008 | Red}
{Storm | Geo | 2000 | Purple}
{R-Class | Mercedes-Benz | 2008 | Crimson}
{A8 | Audi | 2008 | Red}
{Grand Marquis | Mercury | 2005 | Orange}
{Neon | Dodge | 2009 | Yellow}
{Sable | Mercury | 1998 | Fuscia}
{Escalade EXT | Cadillac | 2003 | Red}
{Prizm | Chevrolet | 2005 | Mauv}
{Escalade ESV | Cadillac | 2010 | Goldenrod}
{Viper | Dodge | 2009 | Pink}
{Vega | Chevrolet | 2010 | Green}
{9-3 | Saab | 2001 | Blue}
{S-Class | Mercedes-Benz | 2003 | Crimson}
{Camaro | Chevrolet | 2010 | Mauv}
{SLR McLaren | Mercedes-Benz | 1999 | Maroon}
{9-7X | Saab | 2008 | Maroon}
{Equator | Suzuki | 2001 | Turquoise}
{2500 | Ram | 2002 | Blue}
{6000 | Pontiac | 1999 | Khaki}
{RX Hybrid | Lexus | 2008 | Goldenrod}
{D250 | Dodge | 2005 | Red}
{G-Series G20 | Chevrolet | 2007 | Maroon}
{Escape | Ford | 1998 | Red}
{MKX | Lincoln | 2010 | Violet}
{Cougar | Mercury | 2009 | Puce}
{Silverado 1500 | Chevrolet | 2009 | Teal}
{3500 | Ram | 2010 | Goldenrod}
{900 | Saab | 2008 | Orange}
{Envoy | GMC | 2004 | Orange}
{Roadmaster | Buick | 2006 | Aquamarine}
{Grand Caravan | Dodge | 2010 | Purple}
{TT | Audi | 2005 | Red}
{Cougar | Mercury | 2004 | Blue}
{Journey | Dodge | 2004 | Teal}
{Skylark | Buick | 2008 | Blue}
{Chariot | Mitsubishi | 2010 | Orange}
{Optima | Kia | 2004 | Green}
{Ram 3500 | Dodge | 2007 | Orange}
{Accent | Hyundai | 2006 | Crimson}
{SRX | Cadillac | 2007 | Blue}
{ES | Lexus | 1999 | Orange}
{Optima | Kia | 2003 | Mauv}
{Grand Prix | Pontiac | 2001 | Aquamarine}
{Aerostar | Ford | 2003 | Teal}
{Firebird | Pontiac | 1998 | Green}
{Forenza | Suzuki | 2009 | Turquoise}
{Escape | Ford | 1999 | Maroon}
{Matrix | Toyota | 1998 | Khaki}
{Cougar | Mercury | 2006 | Teal}
{Cobalt | Chevrolet | 2004 | Fuscia}
{Tracker | Geo | 2004 | Aquamarine}
{3500 Club Coupe | GMC | 2006 | Green}
{LHS | Chrysler | 2003 | Yellow}
{Express 1500 | Chevrolet | 2000 | Indigo}
{Spectra | Kia | 2006 | Red}
{MPV | Mazda | 2007 | Crimson}
{E-Class | Mercedes-Benz | 1999 | Blue}
{CL-Class | Mercedes-Benz | 2000 | Fuscia}
{Lancer | Mitsubishi | 2010 | Turquoise}
{GX | Lexus | 2004 | Yellow}
